ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
40,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
41,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0,7.0,11.0,41.0,0.49,15.0,97.0,98.0,86.0,13.0,9.0,6.0,907.0,5.0,0.06,36.0,22.0,0.0,14.0,6.0,0.43,1.0,0.0,8,8.0,185.0,79.28571428571429,1,2
42,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,0,0
43,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,0,0
44,1,1,9,0.0,0.0,0.0,4.0,0.0,3.0,0.0,19.0,20.0,9.0,11.0,12.0,0.53,4.0,34.0,33.0,30.0,5.0,6.0,13.0,590.0,11.0,0.0,6.0,22.0,5.0,107.0,47.0,0.44,22.0,0.0,32,32.0,78.95,112.78571428571429,4,3
45,0,1,2,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,18.0,5.0,37.0,29.0,0.62,14.0,127.0,79.0,76.0,23.0,22.0,0.0,1770.0,1.0,0.38,85.0,18.0,1.0,5.0,2.0,0.22,0.0,0.0,2,2.0,496.3333333333333,1489.0,1,0
46,3,1,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,20.0,10.0,11.0,12.0,0.53,9.0,34.0,33.0,30.0,5.0,6.0,8.0,569.0,13.0,0.0,6.0,16.0,0.0,54.0,23.0,0.43,7.0,0.0,14,14.0,170.28571428571428,132.44444444444446,2,2
47,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
48,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
49,3,1,1,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,11.0,7.0,11.0,19.0,0.47,1.0,36.0,60.0,112.0,7.0,14.0,0.0,208.0,0.0,0.0,3.0,24.0,1.0,27.0,10.0,0.37,3.0,0.0,2,2.0,161.33333333333334,484.0,1,0
50,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
51,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,27.0,13.0,0.69,7.0,37.0,43.0,25.0,15.0,11.0,1.0,910.0,1.0,0.0,51.0,3.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,90.0,45.0,0,1
