ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
83,Mads Bidstrup,MID,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
84,Nathan Collins,DEF,Brentford,1,0,0,0,3,0,1013,2,0,1,9,14,51,38,53%,44,136,145,72,73,35,1,"1,468",5,25%,69,12,1,,,,,
85,Matthew Cox,GKP,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
86,Mikkel Damsgaard,MID,Brentford,0,0,0,0,1,0,165,0,0,0,5,13,,29,59%,11,57,58,70,12,11,2,394,5,10%,23,14,0,9,4,44%,1,
87,Josh Dasilva,MID,Brentford,0,0,0,0,0,0,9,0,0,0,2,1,,2,50%,0,2,4,8,0,0,0,13,0,17%,0,2,0,0,0,0%,0,
88,Mark Flekken,GKP,Brentford,0,2.71,0,0,3,42,1395,1,0,0,10,18,63,,,,,,,,,1,"1,446",,,321,2,,,,,,115
89,Mark Flekken,GKP,Brentford,0,2.71,0,0,3,42,1395,1,0,0,10,18,63,,,,,,,,,1,"1,446",,,321,2,,,,,,115
90,Charlie Goode,DEF,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
91,Rico Henry,DEF,Brentford,0,0,0,0,1,0,401,1,0,0,1,1,5,7,71%,5,24,24,18,4,6,1,156,2,18%,8,4,0,,,,,
92,Rico Henry,DEF,Brentford,0,0,0,0,1,0,401,1,0,0,1,1,5,7,71%,5,24,24,18,4,6,1,156,2,18%,8,4,0,,,,,
93,Aaron Hickey,DEF,Brentford,0,0,0,0,2,0,713,5,0,0,2,3,12,16,56%,3,42,38,29,2,9,0,252,0,0%,9,10,0,,,,,
94,Vitaly Janelt,MID,Brentford,0,0,0,0,4,0,1376,3,0,1,10,19,,63,60%,36,189,133,100,34,27,3,"1,306",5,34%,60,27,0,21,7,33%,2,
95,Mathias Jensen,MID,Brentford,3,0,0,0,5,0,905,2,0,3,9,15,,54,59%,23,123,96,148,6,11,3,972,9,38%,82,28,0,14,7,50%,0,
96,Keane Lewis-Potter,MID,Brentford,1,0,0,0,1,0,408,0,0,3,7,16,,17,,7,,,,,,1,358,3,,,9,1,43,22,51%,12,
97,Bryan Mbeumo,MID,Brentford,7,0,0,0,3,0,1286,1,0,9,8,9,,15,67%,7,93,106,160,23,45,6,650,6,32%,17,22,0,53,20,38%,9,
98,Christian Nørgaard,MID,Brentford,1,0,0,0,3,0,1390,6,0,2,8,17,,81,62%,54,216,159,159,41,47,1,"1,441",6,27%,60,41,2,35,7,20%,3,
99,Frank Onyeka,MID,Brentford,0,0,0,0,1,0,705,5,0,1,5,14,,37,65%,23,73,89,86,10,23,2,375,2,31%,14,24,0,22,9,41%,2,
100,Ethan Pinnock,DEF,Brentford,1,0,0,0,3,0,1530,0,0,2,10,14,46,35,66%,43,131,165,73,114,51,0,"1,398",1,0%,71,4,2,,,,,
101,Kevin Schade,MID,Brentford,1,0,0,0,1,0,255,0,0,2,4,3,,3,33%,1,23,28,44,17,14,1,88,2,40%,0,10,0,8,4,50%,2,
102,Thomas Strakosha,GKP,Brentford,0,4,0,0,0,6,135,0,0,0,1,1,2,,,,,,,,,0,66,,,16,0,,,,,,6
103,Ivan Toney,FWD,Brentford,0,0,0,0,0,0,0,0,0,4,3,9,,15,,10,,,,,,2,388,3,,,24,0,51,22,43%,11,
104,Ryan Trevitt,MID,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
105,Yoane Wissa,FWD,Brentford,3,0,0,0,6,0,1368,2,0,12,8,17,,28,57%,9,99,137,141,38,49,3,440,7,24%,12,38,0,67,26,39%,12,
106,Neal Maupay,FWD,Brentford,2,0,0,0,2,0,682,3,0,6,8,19,,10,,2,,,,,,3,398,5,,,20,1,42,20,48%,7,
107,Michael Olakigbe,MID,Brentford,0,0,0,0,0,0,37,0,0,0,1,5,,3,0%,1,7,9,14,1,2,0,32,0,0%,1,2,0,3,1,33%,0,
108,Ethan Brierley,MID,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
109,Saman Ghoddos,MID,Brentford,1,0,0,0,0,0,511,4,0,1,4,13,,28,,5,,,,,,0,368,1,,,13,0,9,2,22%,0,
110,Valintino Adedokun,DEF,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
111,Myles Peart-Harris,MID,Brentford,0,0,0,0,0,0,7,0,0,0,1,2,,0,0%,0,0,2,9,0,5,0,7,0,0%,0,2,0,0,0,0%,0,
112,Vincent Angelini,GKP,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
113,Simon Adingra,MID,Brighton,4,0,0,0,0,0,1139,2,0,6,9,12,,45,,19,,,,,,1,747,6,,,29,1,52,22,42%,4,
114,Steven Alzate,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
115,Yasin Ayari,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
116,Facundo Buonanotte,MID,Brighton,1,0,0,0,0,0,369,3,0,3,7,9,,42,52%,8,66,107,139,6,16,1,469,3,17%,5,34,0,21,9,43%,2,
